FAC_CODE,FAC_NAME,FAC_DESCRIPTION,DIGEST Status,Change History,Cat_Ix,SCat_Ix,Source of Proposed Change,Report Number,Date of last change,Comments
"AT045","Radar Transmitter","A device for transmitting and receiving radar emissions.",0,,"A","AT","WP","2.0A","06/24/98 00:00:00","Delete double space before 'transmitting', (US NIMA).  Add space after colon in Spanish Translation, Ruffhead Mil Survey
"
"AT050","Communication Building","A building in which communication signals are processed or controlled.",0,,"A","AT",,"2.0",,"
"
"AT060","Telephone Line/Telegraph Line","A system of above ground wires, including their supports, which transmit electrical signals over distance.  (See also AT005, AT006, and AT030)",0,"Version 2.1: Added cross references to AT005, AT006 and AT030.","A","AT","WP","2.1",,"Editorial"
"AT070","Telephone-Telegraph Pylon/Pole","A pylon or pole used to support a telephone or telegraph line.",0,,"A","AT",,"2.0",,"
"
"AT080","Communication Tower  ","A relatively tall structure used for transmitting and/or receiving electronic communication signals.  (See also AQ060)",0,,"A","AT",,"2.0",,"
"
"AUXXX","Feature Place Holder AU","Place Holder - AU",19,,"A","AU","US","N/A","09/17/98 00:00:00","This category was mis-labeled in DIGEST 1.2 and 2.0 as AG, the index in 1.2 had it correct though.
"
"BA010","Coastline/Shoreline","The line where a land mass is in contact with a body of water.",0,,"B","BA",,"2.0",,"
"
"BA011","Coastline","A line generally following the contact between a land mass and a body of water,  based on the low water line, and used as a reference for measuring international boundaries such as Territorial Limits or Exclusive Economic Zone (EEZ).",0,"Version 2.1: New Feature to breakout BA010 Coastline/Shoreline.","B","BA","US","2.1","03/06/00 00:00:00","New Feature to breakout BA010 Coastline/Shoreline."
"AA010","Mine","An excavation made in the earth for the purpose of extracting natural deposits.  (See also AQ090)",0,,"A","AA",,"2.0",,"
"
"AA011","Quarry/Mine Shear Wall","The wall facing of the excavation within a quarry/mine.",0,,"A","AA","WP","2.0A",,"Capitalization
"
"AA012","Quarry","An excavation created by removal of stone by blasting or cutting.",0,,"A","AA",,"2.0",,"
"
"AA013","Pit","An excavation where gravel, sand, or clay are removed for use elsewhere.",0,,"A","AA",,"2.0",,"
"
"AA040","Rig/Superstructure ","A vertical structure fitted for drilling or lifting operations.",0,,"A","AA",,"2.0",,"
"
"AA050","Well ","A hole drilled or dug into the earth or sea bed for the extraction of liquids or gases.  (See also BH170)",0,"Version 2.1: Added phrase ""or dug"".","A","AA","US","2.1","05/20/99 00:00:00","Added phrase ""or dug"" to definition to capture actual use of feature to include both drilled and dug wells.
UK:  YES
US:  YES
GE:  YES
IT:  YES"
"AA051","Wellhead","The top of a well, as in oil, gas, or water well, that caps the well structure and which may be located on land or partially submerged offshore which nautical vessels can use for lashings.",0,,"A","AA",,"2.0",,"
"
"AA052","Oil/Gas Field","An area where oil and/or gas is pumped or otherwise removed from the ground.",0,,"A","AA",,"2.0",,"
"
"AA060","Gradation Works","Trestle covered with twigs over which brine trickles that is concentrated through increased evaporation.",0,,"A","AA","GE","2.0A","06/24/98 00:00:00","Required by topographic products.
"
"AB000","US-Disposal Site/Waste Pile UK-Refuse Tip/Slag Heap","A site for the collecting/depositing of refuse or discarded material.  (See also AB010, AM010 and AM040)",0,"Version 2.1: Replaced ""An area"" with ""A site"".","A","AB","US","2.1","05/20/99 00:00:00","Add reference to AM041 Slag or Spoil Heap (if it is approved).
UK:  NO See AM041
GE:  NO See AM041
US:  YES See AM041
CZ: 
     a) The definition generally should not limit the geometric type except where the feature really can not be anything else at any resolution or scale. e.g. trigonometric point cannot be nothing but point.
     b) It is impossible to say what is waste and what is raw material. What is waste for you today can be a raw material for me tomorrow. The material should be simply an attribute not part of feature definition.
IT:  NO  See AM041
Propose to eliminate the reference to AM040 due to the exclusion for waste materials in AM040 definition. The same for the AM040 reference to AB000."
"AB010","Wrecking Yard/Scrap Yard","An area or site engaged in the wrecking, dismantling, storage, or resale of discarded products.  (See also AB000)",0,,"A","AB",,"2.0",,"
"
"AB020","US-Burner   UK-Flare Stack","A permanent structure used for the disposal of waste products by burning.",0,,"A","AB","DE","2.0A",,"
"
"AB021","Diffuser","An artificial installation at or below water level, where liquids (e.g. cooling water, spillage) are spread out.",0,,"A","AB","WP","2.0A","06/24/98 00:00:00","Remove semicolon in Dutch Translation.  Buckley NIMA/SES
"
"AB030","Waste Processing Facility","Operational site with buildings and other facilities, where waste is processed through chemical, physical, biological or thermal procedures or a combination of those procedures.  (See also AB000 and AB020)",0,,"A","AB","GE","2.0A","06/24/98 00:00:00","Required by topographic products.
"
"AC000","Processing Plant/Treatment Plant","A site used for changing or refining a particular material.",0,,"A","AC",,"2.0",,"
"
"AC010","Blast Furnace ","A heat chamber used for smelting iron ore.",0,,"A","AC","WP","2.0A",,"Capitalization
"
"AC020","Catalytic Cracker ","A unit in which petroleum separation is carried out in the presence of a catalyst.",0,,"A","AC",,"2.0",,"
"
"AC030","Settling Basin/Sludge Pond","A site where solid matter is precipitated from a liquid by evaporating or settling.",0,,"A","AC","WP","2.0A","06/24/98 00:00:00","Remove space after d'.  Ruffhead Mil Survey.
"
"AC040","Oil/Gas Facilities","An area involved in the production or distribution of oil or natural gas.",0,,"A","AC","WP","2.0A","06/24/98 00:00:00","Remove 2nd occurrence of ""production"".
"
"AC050","Works","The structures, grounds, machinery etc. of a manufacturing establishment or structures in engineering such as docks, bridges.",0,,"A","AC",,"2.0",,"
"
"AD010","US-Power Plant  UK-Power Station","The building(s) and equipment necessary for the generation of electric power.  (See also AD020)",0,,"A","AD",,"2.0",,"
"
"AD020","Solar Panels ","Units of solar cells for converting sunlight into electrical energy or heat.  (See also AD010)",0,,"A","AD",,"2.0",,"
"
"AD030","Substation/Transformer Yard","A facility, along a power line route, in which electric current is transformed and/or distributed.",0,,"A","AD","WP","2.0A","06/24/98 00:00:00","Add spaces after "":"" in translations for Italian and Danish.  Buckley NIMA/SES
"
"AD040","Nuclear Reactor","An apparatus in which a nuclear chain reaction is initiated, sustained, and controlled.  (See also AD010) This code is used to define a nuclear reactor which may be contained within a power plant.",0,,"A","AD",,"2.0",,"
"
"AD050","Heating Plant","Operational site with buildings and other facilities for the generation of thermal energy for heating purposes.",0,,"A","AD","GE","2.0A","06/24/98 00:00:00","Required by topographic products.
"
"AE010","Assembly Plant","A building or group of buildings used for the purpose of combining manufactured parts to make a completed product.",0,,"A","AE","US","2.0A","04/02/98 00:00:00","Approved by FACC WP Dec 1997."
"AF010","Chimney/Smokestack","A vertical structure containing a passage or flue for discharging smoke and gases of combustion.",0,,"A","AF",,"2.0",,"
"
"AF020","Conveyor","An apparatus for moving materials from place to place on a moving belt or series of rollers.",0,,"A","AF","WP","2.0A","04/02/98 00:00:00","Replace missing feature; proposed during discussion at the Dec. 1997 FACC WP. Sheppard SAIC
"
"AF021","Bucket Elevator","A machine, usually a series of buckets, for raising materials or liquids to a higher level.  (Oxford English Dictionary)",0,"Version 2.1: New Feature","A","AF","GE","2.1","01/21/00 00:00:00",
"AF030","Cooling Tower  ","A tower used to cool liquids.",0,,"A","AF",,"2.0",,"
"
"AF040","Crane ","A machine for lifting, shifting, and lowering objects or materials by means of a swinging boom or with the lifting apparatus supported on an overhead track.",0,,"A","AF",,"2.0",,"
"
"AF041","Sheerlegs  (Shear Legs)","Comprises two or three spars standing on end and lashed together, aloft. They serve as a derrick or tripod to lift heavy weights, step or lower masts, stacks, etc.",0,"Version 2.1: Removed space following masts","A","AF","WP","2.1",,"Typo"
"AF050","US-Dredge/Powershovel/Dragline UK-Dredger/Powershovel/Dragline","An excavating machine for removing earth or materials.",0,,"A","AF",,"2.0",,"
"
"AF060","Engine Test Cell ","A structure wherein engines are tested.",0,,"A","AF",,"2.0",,"
"
"AF070","Flare Pipe ","An open-ended pipe at which waste gases are burned.",0,,"A","AF","WP","2.0A","06/24/98 00:00:00","Change 'open ended' to 'open-ended'.  Buckley NIMA/SES, Ruffhead UK
"
"AF080","Hopper ","A top-loaded funnel-shaped structure for temporary holding of loose material which will be dispensed from its bottom.",0,,"A","AF",,"2.0",,"
"
"AGXXX","Feature Place Holder AG","Place Holder - AG",19,,"A","AG","US","N/A","06/24/98 00:00:00","
"
"AH010","Bastion/Rampart/Fortification","A defensive wall built to defend a fort or other defensive work and sometimes equipped with guns.",0,,"A","AH",,"2.0",,"
"
"AH020","Trench ","A linear excavation dug for defensive purposes.",0,,"A","AH",,"2.0",,"
"
"AH050","Fortification ","A facility constructed for the military defense of a site.  (See also AM060)",0,,"A","AH",,"2.0",,"
"
"AH060","Underground Bunker ","An underground facility used by the military either for location of command/control centers or for troop encampment.  (See also AL250)",0,,"A","AH",,"2.0",,"
"
"AH070","Checkpoint","An official place to register, declare or check goods and people.",0,,"A","AH",,"2.0",,"
"
"AI020","US-Mobile Home/Mobile Home Park  UK-Caravan/Caravan Park/Mobile Home/Mobile Home Park","A site for the permanent parking of trailer(s) used as dwellings and designed without a permanent foundation.  (See also AK060 and AQ140)",0,,"A","AI",,"2.0",,"
"
"AI030","Camp ","A place where tents or buildings serve as temporary residence for members of an organization.",0,,"A","AI",,"2.0",,"
"
"AJ010","Circular Irrigation System","An elevated irrigation system revolving around a central pivot point.",0,,"A","AJ",,"2.0",,"
"
"AJ020","Siphon","Bent or curved tube so arranged that liquid flows up or down through it under the force of gravity.",0,,"A","AJ",,"2.0",,"
"
"AJ030","Feed Lot/Stockyard/Holding Pen","An enclosed area in which livestock are temporarily kept.",0,,"A","AJ",,"2.0",,"
"
"AJ050","Windmill ","A wind-driven system of vanes attached to a tower like structure (excluding wind-generated power plants).",0,,"A","AJ",,"2.0",,"
"
"AJ051","Windmotor ","A modern structure used for wind power.",0,,"A","AJ","WP","2.0A","06/24/98 00:00:00","Change 'for use' to 'used for'.  Buckley NIMA/SES
"
"AK020","Amusement Park Attraction  ","A large structure located in an Amusement Park.",0,,"A","AK",,"2.0",,"
"
"AK030","Amusement Park ","A predominantly man-made facility equipped with recreational devices.  (See also AK090 and AK120)",0,,"A","AK",,"2.0",,"
"
"AK040","US-Athletic Field  UK-Athletic Field/Sports Field/Playing Field","An open area where sporting events, exercises, or games occur.",0,,"A","AK",,"2.0",,"
"
"AK050","Tennis Court(s)","An area or site used for the sport of tennis.",0,,"A","AK",,"2.0",,"
"
"AK060","Campground/Campsite","A location for camping.  (See also AI020 and AQ140)",0,,"A","AK",,"2.0",,"
"
"AK061","Picnic Site","A parcel of land that has picnic tables for public use.",0,,"A","AK",,"2.0",,"
"
"AK070","US-Drive In Theater  UK-Drive-in Theatre","A place where motion pictures are shown while viewers remain in their vehicles.",0,,"A","AK",,"2.0",,"
"
"AK080","US-Drive In Theater Screen UK-Drive-in Theatre Screen","A large outdoor screen for showing motion pictures.",0,,"A","AK",,"2.0",,"
"
"AK090","US-Fairgrounds  UK-Fairground","An area where permanent facilities exist to hold outdoor fairs, circuses or exhibitions.  (See also AK030 and AK120)",0,,"A","AK",,"2.0",,"
"
"AK091","Exhibition Grounds","An area where permanent facilities exist to hold outdoor exhibitions.  (See also AK030, AK090, and AK120)",0,,"A","AK","WP","2.0A","06/24/98 00:00:00","Remove space after 'd''.  Buckley NIMA/SES
"
"AK100","Golf Course ","An area of land laid out for the game of golf.",0,,"A","AK",,"2.0",,"
"
"AK101","Golf Driving Range ","A parcel or tract of land used for practicing golf shots.",0,,"A","AK",,"2.0",,"
"
"AK110","Grandstand  ","A usually roofed structure for special viewing of events and having tiers of seats or standing room for spectators.",0,,"A","AK",,"2.0",,"
"
"AK120","Park ","An area used for recreational or ornamental purposes.  (See also AK030, AK090 and AL170)",0,,"A","AK",,"2.0",,"
"
"AK121","Lookout","An area, generally an elevated place, with facilities for observing the scenery.",0,,"A","AK",,"2.0",,"
"
"AK122","Green Space","A maintained vegetated area, which may also contain pathways.  Its primary intent is to improve the appearance of a Built-Up Area, and which is not a park.  (See also AK120)",0,"Version 2.1: New Feature","A","AK","GE","2.1","01/21/00 00:00:00",
"AK130","US-Race Track  UK-Race Track/Race Course","A course for racing.",0,,"A","AK",,"2.0",,"
"
"AK150","Ski Jump ","A ramp used for ski jumping.",0,,"A","AK",,"2.0",,"
"
"AK155","Ski Track","A course prepared for skiing.",0,,"A","AK",,"2.0",,"
"
"AK160","US-Stadium/Amphitheater  UK-Stadium/Ampitheatre","An arena for holding and viewing events.",0,,"A","AK",,"2.0",,"
"
"AK170","Swimming Pool  ","A constructed basin used for swimming outdoors.",0,,"A","AK",,"2.0",,"
"
"AK180","Zoo/Safari Park","An area with a collection of live animals usually for public display.",0,,"A","AK",,"2.0",,"
"
"AK190","Fishing Pier/Promenade Pier","A structure extending into the water used as a platform for recreational purposes, not intended as a berthing place for vessels.",0,,"A","AK","US","2.0A","04/02/98 00:00:00","Approved by FACC WP Dec 1997."
"AL005","Animal Sanctuary ","A natural area set aside for the preservation and protection of wildlife.",0,,"A","AL",,"2.0",,"
"
"AL012","Archeological Site ","A site or location where remains of ancient civilizations or human activity have been discovered.  (See also AL200)",0,,"A","AL",,"2.0",,"
"
"AL015","Building","A relatively permanent structure, roofed and usually walled and designed for some particular use.  (See also AL100)",0,,"A","AL",,"2.0",,"
"
"AL018","Building Superstructure Addition ","A supplemental portion of a building which rises from the roof but is not considered to be part of the general roof line.",0,,"A","AL","WP","2.0A","06/24/98 00:00:00","Add 'to be' before 'part'.  Buckley NIMA/SES
"
"AL019","Shed","A storage facility usually characterized by one or more open sides, support pillars and a roof.",0,,"A","AL",,"2.0",,"
"
"AL020","Built-Up Area ","An area containing a concentration of buildings and other structures.",0,,"A","AL",,"2.0",,"
"
"AL021","Historical Built-Up Area","An area that constitutes a concentration of historical buildings or other historical structures within a built up area.",0,"Version 2.1: New Feature","A","AL","IT","2.1","07/09/99 00:00:00","To permit mapping the Italian DB25 (scale 25.000 - Italian database) to FACC.
UK:  YES
US:  YES
GE:  NO  Approved, if it is clear what „historical“ means. Nations will probably have
different interpretations.  Question to IT : How would, for example, the Forum Romanum be extracted ? As AL021 Historical Built Up Area or AL012 Archeological Site or AL200 Ruins ? (The question arises due to the definition that reads „...a concentration of...other historical structures“).
IT:   ---  Further clarification will be provided at FWP7"
"AL025","Cairn ","A heap of stones piled up as a memorial or a landmark.  (See also AL090 and AL130)",0,"Version 2.1: Removed comma following AL090.","A","AL","WP","2.1",,"Typo"
"AL030","US-Cemetery  UK-Cemetery/Graveyard","An area of land for burying the dead.",0,,"A","AL",,"2.0",,"
"
"AL040","Cliff Dwelling","A dwelling built in the recesses of cliffs.  (See also AL250)",0,,"A","AL",,"2.0",,"
"
"AL045","Complex Outline ","An outline delimiting an area in which two or more like features have the same function.",0,,"A","AL",,"2.0",,"
"
"AL050","US-Display Sign  UK-Display Sign/Notice Board","An upright panel used to convey visual information.  (See also AL080)",0,,"A","AL",,"2.0",,"
"
"AL060","Dragon Teeth ","Regularly spaced concrete or metal barriers laid in single or multiple rows to prevent vehicle movement.",0,,"A","AL",,"2.0",,"
"
"AL070","Fence ","A man-made barrier of relatively light structure used as an enclosure or boundary.  (See also AL260)",0,,"A","AL",,"2.0",,"
"
"AL073","Flagstaff/Flagpole","A staff or pole on which a flag is raised.",0,,"A","AL",,"2.0",,"
"
"AL075","Gallery ","A sunken or cut passageway along a transportation route in mountainous regions constructed to protect vehicles from the elements.  A series of openings on one side may be present for light or ventilation.",0,,"A","AL",,"2.0",,"
"
"AL080","Gantry ","A frame structure raised on side supports so as to span over or around something.  (See also AL050)",0,,"A","AL",,"2.0",,"
"
"AL090","US-Grave Marker   UK-Grave Marker/Tombstone","A marker indicating an individual grave site.  (See also AL025 and AL130)",0,,"A","AL",,"2.0",,"
"
"AL100","Hut  ","A small simple or crude house or shelter.  (See also AL015)",0,,"A","AL",,"2.0",,"
"
"AL101","Cabin","A building in a remote or wilderness area.",0,,"A","AL",,"2.0",,"
"
"AL105","Settlement ","A concentration of small dwellings.",0,,"A","AL",,"2.0",,"
"
"AL110","US-Light Standard/Light Support  UK-Light Standard/Light Support/Lamp Post","A structure serving as a support for lighting.",0,,"A","AL",,"2.0",,"
"
"AL116","Calvary Cross","A structure, mounted on a pedestal, composed of an upright member with a shorter horizontal member centered at approximately two thirds of the height of the upright member.",0,,"A","AL",,"2.0",,"
"
"AL120","Missile Site","An area with related facilities for storing and launching missiles.",0,,"A","AL",,"2.0",,"
"
"AL130","US-Monument  UK-Monument/Folly","A structure erected or maintained as a memorial to a person or event.  (See also AL025 and AL090)",0,,"A","AL",,"2.0",,"
"
"AL135","Native Settlement ","A concentration of native dwellings, generally of the hut type, which are not usually of substantial construction.",0,,"A","AL",,"2.0",,"
"
"AL140","Particle Accelerator","An apparatus for imparting high velocities to charged particles.",0,,"A","AL",,"2.0",,"
"
"AL141","Telescope","An apparatus used for observing distant objects or phenomena.",0,,"A","AL",,"2.0",,"
"
"AL155","Overhead Obstruction Location ","An undelineated obstruction location such as underpasses, overhead pipelines, building overhangs, and other covered traveled ways.",0,,"A","AL",,"2.0",,"
"
"AL170","Plaza/City Square ","An open area which serves as a public square in a city or town.  (See also AK120)",0,,"A","AL",,"2.0",,"
"
"AL195","Ramp ","An inclined plane usually man-made for moving between two levels.  (See also BB240)",0,,"A","AL",,"2.0",,"
"
"AL200","Ruins ","The deteriorated remains of an unspecified structure.  (See also AL012)",0,,"A","AL",,"2.0",,"
"
"AL201","Historic Site/Point of Interest","Site or area declared to be of national or provincial historical significance or interest, maintained for the public.",0,,"A","AL",,"2.0",,"
"
"AL210","Snow Shed/Rock Shed","A shelter build to protect a section of road or railroad from snow/rock slides.",0,,"A","AL",,"2.0",,"
"
"AL220","US-Steeple   UK-Steeple/Spire","A structure usually ending in a sharp point and which may be erected on a roof of a building.",0,,"A","AL",,"2.0",,"
"
"AL240","Tower (Non-Communication)","A relatively tall structure which may be used for observation, support, or storage, etc.  (See also AF030, AM080, AQ060, and BI050)",0,,"A","AL","WP","2.0A","06/24/98 00:00:00","Add 'or' before 'storage'.  Buckley NIMA/SES
"
"AL241","Tower (General)","A relatively tall structure of undefined purpose.",0,,"A","AL","DE","2.0A",,"
"
"AL250","Underground Dwelling ","Underground living quarters.  (See also AL040)",0,,"A","AL",,"2.0",,"
"
"AL260","Wall  ","A solid man-made barrier of heavy material used as an enclosure or boundary or for protection.  (See also AL070)",0,,"A","AL",,"2.0",,"
"
"AM010","Depot (Storage) ","An area used for the storage of products or supplies.  (See also AB000)",0,,"A","AM",,"2.0",,"
"
"AM011","Storage Container","A closed structure used for the storage and containment of solid, liquid or gaseous materials.  (See also AM020, AM070, and AM080)",0,"Version 2.1:New Feature","A","AM","GE","2.1","01/21/00 00:00:00","US-Rex:  I changed name to ""Storage Building"" to better match the definition.  Germany originally proposed: ""storage tank/reservoir""  but this conflicts with AM070 Tank and BH130 Reservoir."
"AM020","Grain Bin/Silo","An enclosed container, used for storing grain or fodder.  (See also AM011, AM070, and AM080)",0,,"A","AM",,"2.0",,"
"
"AM030","Grain Elevator ","A tall structure, equipped for loading, unloading, processing and storing grain.",0,,"A","AM",,"2.0",,"
"
"AM031","Timber Yard  ","An open area for the storage of wooden lumber and timbers.",0,,"A","AM",,"2.0",,"
"
"AM040","US-Mineral Pile   UK-Mineral Pile/Mineral Tip","A man-made heap of mining or quarrying products excluding waste materials.  (See also AB000)",0,,"A","AM",,"2.0",,"
"
"AM060","Storage Bunker/Storage Mound","A structure which may be covered or surrounded with earth which is resistant to ordnance where materials or products are stored.  (See also AH050)",0,,"A","AM",,"2.0",,"
"
"AM070","Tank ","A container used for the storage of liquids or gases.  (See also AM011, AM020, and AM080)",0,,"A","AM",,"2.0",,"
"
"AM080","Water Tower","An elevated container and its supporting structure used to hold water.  (See also AM011, AM020, and AM070)",0,,"A","AM",,"2.0",,"
"
"AN010","US-Railroad  UK-Railway","A rail or set of parallel rails on which a train or tram runs.",0,,"A","AN","WP","2.0A","06/24/98 00:00:00","Remove reference to AN090 - doesn't exist.  Buckley NIMA/SES
"
"AN050","US-Railroad Siding/Railroad Spur UK-Railway Siding/Railway Spur","A stretch of railroad tracks connected to the main track by switch(es) - used for temporary storage and loading/unloading.",0,,"A","AN","WP","2.0A","06/24/98 00:00:00","Remove space after d'.  Ruffhead Mil Survey.
"
"AN060","US-Railroad Yard/Marshalling Yard UK-Railway Yard/Marshalling Yard","A system of tracks within defined limits, and associated features, provided for loading/unloading and assembling trains.",0,"Version 2.1: Added UK English version of name replacing railroad with railway.","A","AN","WP","2.1",,"
"
"AN065","Railhead","A location where materials can be loaded or unloaded from railroad wagons.",0,,"A","AN","DE","2.0A",,"Also Spain"
"AN075","US-Railroad Turntable  UK-Railway Turntable","A rotating platform with railroad tracks used for turning locomotives or cars/carriages.",0,"Version 2.1: Modified UK English version of name replacing railroad with railway.","A","AN","WP","2.1","06/24/98 00:00:00","Add 's' to 'track'.  Buckley NIMA/SES
"
"AN080","US-Railroad Switch    UK-Railway Points","A location on a railroad at which rails may be switched to permit access to another line.",0,"Version 2.1: Modified UK English version of name replacing railroad with railway.","A","AN","WP","2.1",,"
"
"AP010","Cart Track  ","An unimproved roadway.",0,,"A","AP",,"2.0",,"
"
"AP020","US-Interchange  UK-Interchange/Complex Junction","A connection designed to provide traffic access from one road to another.",0,,"A","AP",,"2.0",,"
"
"AP030","Road ","An open way maintained for vehicular use.",0,,"A","AP",,"2.0",,"
"
"AP040","Gate","A barrier which controls passage to a road, railroad, tunnel, or bridge.",0,,"A","AP",,"2.0",,"
"
"AP041","Barrier ","A permanent obstruction placed across a route to prevent vehicular traffic.",0,,"A","AP",,"2.0",,"
"
"AP050","US-Trail  UK-Trail/Footpath","A path worn by the passage of people or animals.",0,,"A","AP",,"2.0",,"
"
"AP060","Drove","Wide track on the land's surface due to the regular movement of animal herds (e.g. sheep, cattle).",0,,"A","AP",,"2.0",,"
"
"AQ010","US-Aerial Cableway Lines/Ski Lift Lines  UK-Aerial Cableway Lines/Ski Lift Cables","Cables which are strung between elevated supports as part of a conveyor system on which cars, buckets, or other carrier units are suspended.  (See also AF020)",0,,"A","AQ",,"2.0",,"
"
"AQ020","Aerial Cableway Pylon/Ski Pylon","A tower supporting steel cables which convey cars, buckets, or other suspended carrier units.",0,,"A","AQ",,"2.0",,"
"
"AQ021","Mast","A straight piece of timber or a hollow cylinder of wood or metal set up vertically, or nearly so.",0,,"A","AQ",,"2.0",,"
"
"AQ030","US-Boardwalk   UK-Wooden Causeway","A walkway made of wooden planks.  (See also BB140)",0,,"A","AQ",,"2.0",,"
"
"AQ040","Bridge/Overpass/Viaduct","A man-made structure spanning and providing passage over a body of water, depression, or other obstacles.",0,,"A","AQ",,"2.0",,"
"
"AQ045","Bridge Span ","A section of the bridge deck between successive supports such as pillars, piers, or abutments.",0,,"A","AQ",,"2.0",,"
"
"AQ050","Bridge Superstructure ","Those elements of the bridge structure which are above the lowest deck.  (See also AQ055)",0,,"A","AQ",,"2.0",,"
"
"AQ055","Bridge Tower/Bridge Pylon","A tower or pylon from which a bridge's deck is suspended.",0,,"A","AQ",,"2.0",,"
"
"AQ056","Bridge Pier","The support(s) in the form of pillar(s) or abutment(s) for the spans of a bridge.",0,,"A","AQ","DE","2.0A",,"
"
"AQ058","Constriction/Expansion","A point where a passage way narrows or expands beyond its normal width.",0,,"A","AQ",,"2.0",,"
"
"AQ060","Control Tower","A tower-like structure that houses the persons and equipment used to control the flow of air, rail, or marine traffic.  (See also AL240)",0,,"A","AQ",,"2.0",,"
"
"AQ062","US-Crossing  UK - Crossing/Level Crossing","A point where two or more line features intersect or cross at the same level about which information is required.  (See also BH070)",0,,"A","AQ",,"2.0",,"
"
"AQ064","Causeway","A raised roadway of solid structure built primarily to provide a route across wet ground or intertidal area.",0,,"A","AQ",,"2.0",,"
"
"AQ065","Culvert ","A sewer or drain crossing under a road, track, or embankment, without affecting the construction of the crossed feature.",0,,"A","AQ",,"2.0",,"
"
